dimension,model_family,n_pipeline_variants,best_RMSE,mean_RMSE,best_MAE,mean_MAE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d4_family_system,HistGradBoost,9,0.6575,0.7092222222222222,0.5145,0.5530222222222222,0.2472,0.12292222222222222,0.5114,0.4879
d4_family_system,SVR_RBF,9,0.6666,0.6968333333333333,0.5102,0.5429555555555555,0.2263,0.15362222222222222,0.49,0.4827
d4_family_system,Ridge,9,0.6677,0.8039555555555555,0.5272,0.5781444444444443,0.2236,-0.2718555555555555,0.4811,0.4488
d4_family_system,BayesianRidge,9,0.6744,0.7460555555555556,0.5478,0.5822555555555555,0.208,0.013533333333333323,0.4587,0.4374
d4_family_system,DecisionTree,9,0.6831,0.7615555555555555,0.5394,0.5936555555555556,0.1875,-0.012166666666666668,0.4653,0.3302
d4_family_system,ElasticNet,9,0.695,0.7151333333333333,0.5444,0.5698333333333333,0.159,0.10863333333333333,0.4023,0.3681
d4_family_system,Lasso,9,0.6972,0.7228666666666667,0.5544,0.5760777777777778,0.1535,0.08861111111111111,0.3938,0.3203
d4_family_system,SVR_Linear,9,0.7067,0.7501333333333333,0.5591,0.5905,0.1303,0.01751111111111111,0.392,0.3748
d4_family_system,KNN,9,0.7156,0.7374444444444445,0.552,0.5663888888888889,0.1084,0.052733333333333327,0.4374,0.3735
d4_family_system,Baseline,9,0.759,0.7616444444444445,0.6196,0.6215333333333333,-0.0031,-0.01018888888888889,-0.0752,-0.0867
d5_ambiguity_tolerance,GradientBoosting,9,0.7097,0.7642222222222222,0.5605,0.5962999999999999,0.2627,0.14295555555555556,0.5133,0.4915
d5_ambiguity_tolerance,RandomForest,9,0.7231,0.7501888888888888,0.5685,0.5953444444444445,0.2345,0.1756111111111111,0.4912,0.4662
d5_ambiguity_tolerance,SVR_RBF,9,0.7287,0.7653444444444444,0.5641,0.6006111111111111,0.2228,0.14147777777777779,0.473,0.4787
d5_ambiguity_tolerance,HistGradBoost,9,0.7334,0.7780333333333334,0.5794,0.6132222222222222,0.2127,0.1118888888888889,0.4843,0.4631
d5_ambiguity_tolerance,Ridge,9,0.7382,0.7711888888888888,0.5914,0.6158222222222222,0.2023,0.12863333333333332,0.4507,0.4159
d5_ambiguity_tolerance,BayesianRidge,9,0.7424,0.780511111111111,0.5872,0.6181888888888889,0.1932,0.10598888888888888,0.4398,0.4192
d5_ambiguity_tolerance,SVR_Linear,9,0.7521,0.8932777777777778,0.5926,0.6660444444444445,0.1719,-0.23433333333333334,0.4184,0.3866
d5_ambiguity_tolerance,ElasticNet,9,0.7633,0.7896777777777778,0.6131,0.6394333333333333,0.1472,0.08685555555555556,0.3837,0.4086
d5_ambiguity_tolerance,Lasso,9,0.78,0.7993666666666667,0.6144,0.6434333333333333,0.1095,0.06442222222222221,0.3483,0.3347
d5_ambiguity_tolerance,KNN,9,0.7967,0.8170222222222222,0.6265,0.6426111111111111,0.0708,0.022555555555555558,0.326,0.2875
d5_ambiguity_tolerance,Baseline,9,0.8294,0.8323777777777779,0.6817,0.6835888888888889,-0.0071,-0.014288888888888887,-0.113,-0.0942
d5_ambiguity_tolerance,DecisionTree,9,0.841,0.8905222222222222,0.6538,0.6925666666666667,-0.0354,-0.16236666666666666,0.3326,0.1878
