dimension,model_family,n_pipeline_variants,best_MAE,mean_MAE,best_RMSE,mean_RMSE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d4_family_system,SVR_Linear,9,0.5522,0.5798111111111112,0.7013,0.7631777777777777,0.1436,-0.023733333333333342,0.4444,0.4591
d4_family_system,Lasso,9,0.5556,0.5688444444444445,0.7033,0.7193333333333334,0.1386,0.09802222222222222,0.3782,0.4188
d4_family_system,ElasticNet,9,0.5581,0.5697444444444444,0.6978,0.7179333333333333,0.152,0.1022,0.3918,0.3937
d4_family_system,Baseline,9,0.6196,0.6215333333333333,0.759,0.7616444444444445,-0.0031,-0.01018888888888889,-0.0752,-0.0867
d5_ambiguity_tolerance,GradientBoosting,9,0.5824,0.6053000000000001,0.7301,0.7705,0.2198,0.12985555555555556,0.48,0.4412
d5_ambiguity_tolerance,SVR_RBF,9,0.5831,0.6113888888888889,0.7417,0.7784222222222222,0.1947,0.11217777777777778,0.4454,0.4052
d5_ambiguity_tolerance,RandomForest,9,0.588,0.6053000000000001,0.7452,0.7671777777777778,0.187,0.13793333333333335,0.4379,0.4085
d5_ambiguity_tolerance,HistGradBoost,9,0.5882,0.6059222222222223,0.74,0.7646666666666666,0.1984,0.14354444444444445,0.4578,0.4058
d5_ambiguity_tolerance,DecisionTree,9,0.6012,0.6846888888888889,0.7798,0.8833777777777778,0.1099,-0.14654444444444445,0.4465,0.3652
d5_ambiguity_tolerance,BayesianRidge,9,0.6071,0.6276111111111111,0.773,0.7908222222222222,0.1254,0.08413333333333334,0.3606,0.3484
d5_ambiguity_tolerance,Ridge,9,0.6087,0.6312111111111112,0.7747,0.7914111111111111,0.1214,0.08292222222222222,0.3689,0.3589
d5_ambiguity_tolerance,ElasticNet,9,0.6137,0.6383333333333333,0.7796,0.8003222222222222,0.1104,0.062155555555555554,0.355,0.3711
d5_ambiguity_tolerance,SVR_Linear,9,0.6201,0.6522888888888888,0.7797,0.8301111111111111,0.1101,-0.010566666666666665,0.3751,0.3887
d5_ambiguity_tolerance,KNN,9,0.6265,0.6543,0.8172,0.8371,0.0225,-0.026155555555555557,0.2921,0.2581
d5_ambiguity_tolerance,Lasso,9,0.6334,0.6598,0.7995,0.8169777777777778,0.0643,0.02272222222222222,0.2858,0.2914
d5_ambiguity_tolerance,Baseline,9,0.6817,0.6835888888888889,0.8294,0.8323777777777779,-0.0071,-0.014288888888888887,-0.113,-0.0942
