dimension,model_family,n_pipeline_variants,best_RMSE,mean_RMSE,best_MAE,mean_MAE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d4_family_system,Lasso,9,0.6996,0.7197222222222223,0.5621,0.5736777777777777,0.1476,0.09742222222222223,0.3929,0.4099
d4_family_system,KNN,9,0.7009,0.7246333333333334,0.5408,0.5604666666666667,0.1444,0.08531111111111112,0.4072,0.3696
d4_family_system,SVR_Linear,9,0.7043,0.7638,0.5535,0.5793333333333333,0.1362,-0.025333333333333343,0.4444,0.4591
d4_family_system,Baseline,9,0.759,0.7616444444444445,0.6196,0.6215333333333333,-0.0031,-0.01018888888888889,-0.0752,-0.0867
d5_ambiguity_tolerance,GradientBoosting,9,0.733,0.7637555555555555,0.5769,0.6012111111111111,0.2135,0.14537777777777777,0.4689,0.4565
d5_ambiguity_tolerance,RandomForest,9,0.7379,0.7622333333333333,0.5804,0.6014222222222222,0.2029,0.14903333333333332,0.4594,0.4231
d5_ambiguity_tolerance,HistGradBoost,9,0.74,0.7665444444444445,0.5842,0.6073,0.1984,0.13925555555555555,0.4578,0.4123
d5_ambiguity_tolerance,SVR_RBF,9,0.7417,0.7705666666666667,0.5802,0.6048,0.1947,0.13018888888888888,0.446,0.4206
d5_ambiguity_tolerance,BayesianRidge,9,0.773,0.7904333333333333,0.6071,0.6269222222222222,0.1254,0.0852,0.3606,0.3419
d5_ambiguity_tolerance,Ridge,9,0.7747,0.7911777777777778,0.6087,0.6318333333333332,0.1214,0.08343333333333333,0.3689,0.3589
d5_ambiguity_tolerance,SVR_Linear,9,0.7797,0.8329111111111112,0.6201,0.6515888888888889,0.1101,-0.01757777777777778,0.3751,0.3887
d5_ambiguity_tolerance,DecisionTree,9,0.7798,0.8727333333333332,0.6012,0.6762444444444444,0.1099,-0.11986666666666666,0.4465,0.3652
d5_ambiguity_tolerance,ElasticNet,9,0.7924,0.8089777777777778,0.629,0.6490888888888889,0.0808,0.04187777777777778,0.315,0.3577
d5_ambiguity_tolerance,Lasso,9,0.7997,0.8149111111111111,0.6388,0.6600555555555556,0.0639,0.0278,0.2852,0.3025
d5_ambiguity_tolerance,KNN,9,0.8109,0.8312111111111111,0.63,0.6500666666666667,0.0373,-0.011766666666666668,0.3205,0.2842
d5_ambiguity_tolerance,Baseline,9,0.8294,0.8323777777777779,0.6817,0.6835888888888889,-0.0071,-0.014288888888888887,-0.113,-0.0942
