language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d3_cultural_factors,49,emo_neg,float64,0,0.0,46,0.7619,False,False,False,0.0,8.333,0.6445281385281386,1.4417802575848035
en,d3_cultural_factors,50,emo_anx,float64,0,0.0,20,0.9004,False,False,False,0.0,6.667,0.2414805194805195,0.8518147677352763
en,d3_cultural_factors,51,emo_anger,float64,0,0.0,4,0.987,False,True,False,0.0,2.778,0.021545454545454548,0.20881709567619294
en,d3_cultural_factors,52,emo_sad,float64,0,0.0,18,0.9264,False,False,False,0.0,3.448,0.13987012987012987,0.5443970022914307
en,d3_cultural_factors,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,54,Social,float64,0,0.0,143,0.039,False,False,False,3.333,46.154,18.979463203463204,6.53779201174659
en,d3_cultural_factors,55,socbehav,float64,0,0.0,103,0.2641,False,False,False,0.0,17.647,3.3444545454545453,3.203195714929435
en,d3_cultural_factors,56,prosocial,float64,0,0.0,35,0.8312,False,False,False,0.0,5.405,0.37724242424242427,0.9644836835102892
en,d3_cultural_factors,57,polite,float64,0,0.0,7,0.974,False,True,False,0.0,3.571,0.055545454545454544,0.3727326426876256
en,d3_cultural_factors,58,conflict,float64,0,0.0,17,0.9307,False,False,False,0.0,7.692,0.21637229437229438,0.9433250396122727
en,d3_cultural_factors,59,moral,float64,0,0.0,23,0.9048,False,False,False,0.0,10.526,0.21382251082251083,0.9161309658675959
en,d3_cultural_factors,60,comm,float64,0,0.0,79,0.4502,False,False,False,0.0,12.903,1.8195887445887442,2.3491525909040107
en,d3_cultural_factors,61,socrefs,float64,0,0.0,146,0.0346,False,False,False,0.0,33.333,14.490575757575757,5.193789035085557
en,d3_cultural_factors,62,family,float64,0,0.0,64,0.658,False,False,False,0.0,8.163,0.9585064935064934,1.6101671770350834
en,d3_cultural_factors,63,friend,float64,0,0.0,39,0.8139,False,False,False,0.0,9.091,0.5297705627705628,1.3301866538520837
en,d3_cultural_factors,64,female,float64,0,0.0,17,0.9264,False,False,False,0.0,5.0,0.15977922077922077,0.6363297604922197
en,d3_cultural_factors,65,male,float64,0,0.0,11,0.9567,False,True,False,0.0,7.692,0.1785151515151515,0.9566586863457303
en,d3_cultural_factors,66,Culture,float64,0,0.0,32,0.8571,False,False,False,0.0,7.895,0.3739393939393939,1.1419117820786622
en,d3_cultural_factors,67,politic,float64,0,0.0,3,0.9913,False,True,False,0.0,2.564,0.01926839826839827,0.20902570425779404
en,d3_cultural_factors,68,ethnicity,float64,0,0.0,32,0.8571,False,False,False,0.0,7.895,0.3739393939393939,1.1419117820786622
en,d3_cultural_factors,69,tech,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,70,Lifestyle,float64,0,0.0,75,0.5498,False,False,False,0.0,12.5,1.6563982683982683,2.470805374207847
en,d3_cultural_factors,71,leisure,float64,0,0.0,20,0.9134,False,False,False,0.0,5.263,0.21264069264069263,0.7766989993261874
en,d3_cultural_factors,72,home,float64,0,0.0,12,0.9524,False,True,False,0.0,3.846,0.10789610389610389,0.5211016487107887
en,d3_cultural_factors,73,work,float64,0,0.0,61,0.658,False,False,False,0.0,12.5,1.3081688311688313,2.3798519669121405
en,d3_cultural_factors,74,money,float64,0,0.0,4,0.9827,False,True,False,0.0,1.724,0.024095238095238097,0.18449460820166677
en,d3_cultural_factors,75,relig,float64,0,0.0,2,0.9957,False,True,False,0.0,2.222,0.009619047619047619,0.1461968666200607
en,d3_cultural_factors,76,Physical,float64,0,0.0,43,0.7922,False,False,False,0.0,9.677,0.5802857142857143,1.4475576359222353
en,d3_cultural_factors,77,health,float64,0,0.0,22,0.9091,False,False,False,0.0,8.0,0.2486926406926407,0.9893837194182815
en,d3_cultural_factors,78,illness,float64,0,0.0,2,0.9957,False,True,False,0.0,5.882,0.025463203463203462,0.3870071869753361
en,d3_cultural_factors,79,wellness,float64,0,0.0,2,0.9957,False,True,False,0.0,0.752,0.0032554112554112552,0.04947796746097462
en,d3_cultural_factors,80,mental,float64,0,0.0,3,0.9913,False,True,False,0.0,1.389,0.010216450216450216,0.11127817039507204
en,d3_cultural_factors,81,substances,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,82,sexual,float64,0,0.0,6,0.9784,False,True,False,0.0,5.0,0.052943722943722946,0.41575940088928653
en,d3_cultural_factors,83,food,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,84,death,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,85,need,float64,0,0.0,30,0.8615,False,False,False,0.0,11.429,0.5036017316017316,1.563134367029365
en,d3_cultural_factors,86,want,float64,0,0.0,23,0.9004,False,False,False,0.0,4.167,0.18759307359307362,0.6343126637787371
en,d3_cultural_factors,87,acquire,float64,0,0.0,38,0.8182,False,False,False,0.0,7.692,0.4150779220779221,1.0912553572703851
en,d3_cultural_factors,88,lack,float64,0,0.0,9,0.9654,False,True,False,0.0,10.526,0.11298268398268399,0.794285245911546
en,d3_cultural_factors,89,fulfill,float64,0,0.0,12,0.9524,False,True,False,0.0,6.667,0.11471428571428573,0.6065184578819945
en,d3_cultural_factors,90,fatigue,float64,0,0.0,3,0.9913,False,True,False,0.0,1.408,0.008324675324675325,0.09850360067024364
en,d3_cultural_factors,91,reward,float64,0,0.0,2,0.9957,False,True,False,0.0,2.174,0.00941125541125541,0.14303869848425374
en,d3_cultural_factors,92,risk,float64,0,0.0,7,0.974,False,True,False,0.0,2.857,0.04387878787878788,0.2977548057952659
en,d3_cultural_factors,93,curiosity,float64,0,0.0,33,0.8268,False,False,False,0.0,5.085,0.3850909090909091,0.9654038287520772
en,d3_cultural_factors,94,allure,float64,0,0.0,130,0.0606,False,False,False,0.0,25.0,9.693238095238096,4.969834210297844
en,d3_cultural_factors,95,Perception,float64,0,0.0,147,0.0563,False,False,False,0.0,25.0,9.750051948051947,5.398385849483007
en,d3_cultural_factors,96,attention,float64,0,0.0,38,0.7922,False,False,False,0.0,5.882,0.4625454545454545,1.0663239276022436
en,d3_cultural_factors,97,motion,float64,0,0.0,57,0.6407,False,False,False,0.0,11.111,0.9716796536796538,1.704106574915778
en,d3_cultural_factors,98,space,float64,0,0.0,132,0.1385,False,False,False,0.0,20.513,6.103506493506493,4.384715241232523
en,d3_cultural_factors,99,visual,float64,0,0.0,41,0.7835,False,False,False,0.0,4.615,0.49699134199134204,1.0658679214666653
en,d3_cultural_factors,100,auditory,float64,0,0.0,36,0.8052,False,False,False,0.0,5.263,0.40167965367965375,0.9243853052619494
en,d3_cultural_factors,101,feeling,float64,0,0.0,79,0.4545,False,False,False,0.0,10.811,1.9185108225108225,2.252960342115066
en,d3_cultural_factors,102,time,float64,0,0.0,87,0.4589,False,False,False,0.0,13.333,1.9582770562770562,2.4155937880763467
en,d3_cultural_factors,103,focuspast,float64,0,0.0,95,0.4416,False,False,False,0.0,18.182,2.3799264069264066,3.2281931800318255
en,d3_cultural_factors,104,focuspresent,float64,0,0.0,135,0.0736,False,False,False,0.0,25.0,7.136502164502165,4.146583204093891
